097256134FUDD      ELMER     19970321000080000M
103111234COYOTE    WILEY     20020524000050000M
120145674DUCK      DAFFY     19850715000123000F
189645748RUNNER    ROAD      19980619000056400M
197256134HILLS     MIKE      19970321000080000M
198551212FISHER    PEGGY     19910208000065000F
198645748MARCHETTI BRYCE     19980619000056400M
200413434SIBILA    CARL      19841225000104000M
201334567SLATTERY  CHERI     20000423000090000G
202145674ADAMS     VICTORIA  19850715000123000F
203111234SMITH     JOE       20020524000050000M
203412546JONES     SHERM     20010404000067500M
213412546WHITE     SNOW      20010404000067500F
240413434SIMPSON   BART      19841225000104000M
256334567MOUSE     MINNIE    20000423000090000G
298551212BUNNY     BUGS      19910208000065000M
